energy [eV]	total (gross)	total (net)	0 (gross)	0 (net)	1 (gross)	1 (net)	2 (gross)	2 (net)	3 (gross)	3 (net)	4 (gross)	4 (net)	5 (gross)	5 (net)	6 (gross)	6 (net)	7 (gross)	7 (net)	8 (gross)	8 (net)	9 (gross)	9 (net)	10 (gross)	10 (net)	11 (gross)	11 (net)	12 (gross)	12 (net)	13 (gross)	13 (net)	14 (gross)	14 (net)	15 (gross)	15 (net)	16 (gross)	16 (net)
1,676.00	14.51	14.51	2.354	2.354	16.40	16.40	14.96	14.96	14.69	14.69	14.76	14.76	13.85	13.85	14.07	14.07	14.27	14.27	14.86	14.86	14.90	14.90	15.31	15.31	15.53	15.53	15.83	15.83	16.17	16.17	15.99	15.99	16.35	16.35	16.39	16.39
1,678.00	14.98	14.98	2.340	2.340	16.75	16.75	15.25	15.25	14.93	14.93	15.05	15.05	14.19	14.19	14.44	14.44	14.78	14.78	15.38	15.38	15.55	15.55	15.93	15.93	16.16	16.16	16.42	16.42	16.77	16.77	16.61	16.61	17.06	17.06	16.99	16.99
1,680.00	15.46	15.46	2.331	2.331	17.05	17.05	15.54	15.54	15.19	15.19	15.34	15.34	14.58	14.58	14.80	14.80	15.30	15.30	15.91	15.91	16.23	16.23	16.59	16.59	16.84	16.84	17.06	17.06	17.41	17.41	17.31	17.31	17.75	17.75	17.62	17.62
1,682.00	15.97	15.97	2.326	2.326	17.32	17.32	15.84	15.84	15.43	15.43	15.63	15.63	14.98	14.98	15.16	15.16	15.83	15.83	16.45	16.45	16.95	16.95	17.26	17.26	17.57	17.57	17.77	17.77	18.10	18.10	18.10	18.10	18.40	18.40	18.31	18.31
1,684.00	16.49	16.49	2.325	2.325	17.62	17.62	16.13	16.13	15.65	15.65	15.91	15.91	15.37	15.37	15.55	15.55	16.37	16.37	16.99	16.99	17.66	17.66	17.95	17.95	18.34	18.34	18.55	18.55	18.83	18.83	18.96	18.96	19.05	19.05	19.10	19.10
1,686.00	17.04	17.04	2.327	2.327	17.95	17.95	16.43	16.43	15.84	15.84	16.17	16.17	15.73	15.73	15.95	15.95	16.92	16.92	17.55	17.55	18.38	18.38	18.70	18.70	19.14	19.14	19.39	19.39	19.61	19.61	19.89	19.89	19.77	19.77	20.00	20.00
1,688.00	17.63	17.63	2.329	2.329	18.30	18.30	16.74	16.74	16.03	16.03	16.39	16.39	16.08	16.08	16.38	16.38	17.48	17.48	18.14	18.14	19.09	19.09	19.52	19.52	19.98	19.98	20.28	20.28	20.44	20.44	20.86	20.86	20.61	20.61	21.01	21.01
1,690.00	18.24	18.24	2.330	2.330	18.65	18.65	17.04	17.04	16.26	16.26	16.56	16.56	16.42	16.42	16.80	16.80	18.02	18.02	18.79	18.79	19.84	19.84	20.42	20.42	20.85	20.85	21.19	21.19	21.34	21.34	21.86	21.86	21.59	21.59	22.12	22.12
1,692.00	18.88	18.88	2.330	2.330	18.94	18.94	17.33	17.33	16.52	16.52	16.67	16.67	16.77	16.77	17.23	17.23	18.56	18.56	19.54	19.54	20.64	20.64	21.39	21.39	21.75	21.75	22.14	22.14	22.32	22.32	22.88	22.88	22.66	22.66	23.28	23.28
1,694.00	19.54	19.54	2.328	2.328	19.17	19.17	17.59	17.59	16.81	16.81	16.78	16.78	17.12	17.12	17.65	17.65	19.10	19.10	20.37	20.37	21.52	21.52	22.40	22.40	22.66	22.66	23.15	23.15	23.38	23.38	23.91	23.91	23.74	23.74	24.45	24.45
1,696.00	20.21	20.21	2.326	2.326	19.35	19.35	17.80	17.80	17.11	17.11	16.92	16.92	17.46	17.46	18.08	18.08	19.70	19.70	21.25	21.25	22.45	22.45	23.40	23.40	23.60	23.60	24.20	24.20	24.51	24.51	24.96	24.96	24.81	24.81	25.59	25.59
1,698.00	20.88	20.88	2.324	2.324	19.49	19.49	17.98	17.98	17.38	17.38	17.12	17.12	17.80	17.80	18.52	18.52	20.35	20.35	22.16	22.16	23.40	23.40	24.38	24.38	24.58	24.58	25.28	25.28	25.67	25.67	26.02	26.02	25.84	25.84	26.71	26.71
1,700.00	21.57	21.57	2.322	2.322	19.63	19.63	18.11	18.11	17.62	17.62	17.39	17.39	18.12	18.12	18.99	18.99	21.07	21.07	23.07	23.07	24.34	24.34	25.36	25.36	25.63	25.63	26.37	26.37	26.84	26.84	27.11	27.11	26.90	26.90	27.84	27.84
1,702.00	22.27	22.27	2.319	2.319	19.77	19.77	18.21	18.21	17.82	17.82	17.70	17.70	18.44	18.44	19.49	19.49	21.82	21.82	23.95	23.95	25.25	25.25	26.35	26.35	26.76	26.76	27.46	27.46	28.02	28.02	28.25	28.25	28.04	28.04	29.02	29.02
1,704.00	23.00	23.00	2.312	2.312	19.90	19.90	18.30	18.30	17.99	17.99	17.98	17.98	18.77	18.77	20.03	20.03	22.59	22.59	24.80	24.80	26.16	26.16	27.38	27.38	27.96	27.96	28.56	28.56	29.24	29.24	29.47	29.47	29.29	29.29	30.30	30.30
1,706.00	23.76	23.76	2.300	2.300	20.01	20.01	18.38	18.38	18.14	18.14	18.21	18.21	19.11	19.11	20.62	20.62	23.37	23.37	25.64	25.64	27.10	27.10	28.46	28.46	29.24	29.24	29.70	29.70	30.51	30.51	30.77	30.77	30.67	30.67	31.66	31.66
1,708.00	24.54	24.54	2.286	2.286	20.08	20.08	18.46	18.46	18.28	18.28	18.38	18.38	19.44	19.44	21.28	21.28	24.15	24.15	26.49	26.49	28.08	28.08	29.57	29.57	30.55	30.55	30.91	30.91	31.88	31.88	32.15	32.15	32.14	32.14	33.08	33.08
1,710.00	25.35	25.35	2.274	2.274	20.13	20.13	18.56	18.56	18.39	18.39	18.50	18.50	19.77	19.77	21.99	21.99	24.94	24.94	27.37	27.37	29.13	29.13	30.70	30.70	31.89	31.89	32.18	32.18	33.31	33.31	33.61	33.61	33.65	33.65	34.52	34.52
1,712.00	26.18	26.18	2.270	2.270	20.15	20.15	18.67	18.67	18.46	18.46	18.61	18.61	20.09	20.09	22.75	22.75	25.72	25.72	28.32	28.32	30.26	30.26	31.87	31.87	33.25	33.25	33.52	33.52	34.80	34.80	35.14	35.14	35.20	35.20	35.99	35.99
1,714.00	27.05	27.05	2.272	2.272	20.13	20.13	18.79	18.79	18.49	18.49	18.74	18.74	20.42	20.42	23.54	23.54	26.52	26.52	29.37	29.37	31.49	31.49	33.10	33.10	34.67	34.67	34.95	34.95	36.34	36.34	36.73	36.73	36.78	36.78	37.54	37.54
1,716.00	27.97	27.97	2.279	2.279	20.08	20.08	18.88	18.88	18.48	18.48	18.89	18.89	20.76	20.76	24.31	24.31	27.33	27.33	30.53	30.53	32.81	32.81	34.46	34.46	36.17	36.17	36.50	36.50	37.93	37.93	38.44	38.44	38.43	38.43	39.19	39.19
1,718.00	28.94	28.94	2.290	2.290	19.96	19.96	18.92	18.92	18.46	18.46	19.04	19.04	21.11	21.11	25.05	25.05	28.22	28.22	31.78	31.78	34.23	34.23	35.97	35.97	37.77	37.77	38.19	38.19	39.59	39.59	40.29	40.29	40.18	40.18	40.99	40.99
1,720.00	29.96	29.96	2.304	2.304	19.77	19.77	18.88	18.88	18.48	18.48	19.18	19.18	21.47	21.47	25.70	25.70	29.19	29.19	33.08	33.08	35.71	35.71	37.64	37.64	39.48	39.48	40.01	40.01	41.30	41.30	42.25	42.25	42.02	42.02	42.93	42.93
1,722.00	30.99	30.99	2.318	2.318	19.49	19.49	18.77	18.77	18.53	18.53	19.28	19.28	21.79	21.79	26.25	26.25	30.23	30.23	34.35	34.35	37.20	37.20	39.40	39.40	41.24	41.24	41.87	41.87	43.05	43.05	44.22	44.22	43.91	43.91	44.95	44.95
1,724.00	31.98	31.98	2.332	2.332	19.17	19.17	18.60	18.60	18.58	18.58	19.35	19.35	22.05	22.05	26.70	26.70	31.27	31.27	35.53	35.53	38.66	38.66	41.12	41.12	42.95	42.95	43.68	43.68	44.77	44.77	46.11	46.11	45.75	45.75	46.94	46.94
1,726.00	32.86	32.86	2.341	2.341	18.84	18.84	18.39	18.39	18.57	18.57	19.37	19.37	22.24	22.24	27.07	27.07	32.24	32.24	36.57	36.57	40.01	40.01	42.68	42.68	44.55	44.55	45.30	45.30	46.40	46.40	47.80	47.80	47.45	47.45	48.77	48.77
1,728.00	33.60	33.60	2.339	2.339	18.50	18.50	18.17	18.17	18.46	18.46	19.34	19.34	22.37	22.37	27.36	27.36	33.06	33.06	37.45	37.45	41.21	41.21	43.96	43.96	45.98	45.98	46.65	46.65	47.86	47.86	49.23	49.23	48.95	48.95	50.34	50.34
1,730.00	34.19	34.19	2.327	2.327	18.14	18.14	17.94	17.94	18.25	18.25	19.25	19.25	22.46	22.46	27.61	27.61	33.72	33.72	38.17	38.17	42.22	42.22	44.94	44.94	47.20	47.20	47.70	47.70	49.09	49.09	50.40	50.40	50.22	50.22	51.62	51.62
1,732.00	34.64	34.64	2.309	2.309	17.76	17.76	17.72	17.72	17.96	17.96	19.08	19.08	22.49	22.49	27.84	27.84	34.22	34.22	38.76	38.76	43.04	43.04	45.66	45.66	48.20	48.20	48.50	48.50	50.05	50.05	51.31	51.31	51.25	51.25	52.66	52.66
1,734.00	34.95	34.95	2.287	2.287	17.31	17.31	17.47	17.47	17.61	17.61	18.86	18.86	22.45	22.45	28.07	28.07	34.58	34.58	39.25	39.25	43.69	43.69	46.24	46.24	49.00	49.00	49.11	49.11	50.75	50.75	51.97	51.97	52.05	52.05	53.49	53.49
1,736.00	35.17	35.17	2.264	2.264	16.78	16.78	17.19	17.19	17.27	17.27	18.61	18.61	22.35	22.35	28.30	28.30	34.83	34.83	39.69	39.69	44.18	44.18	46.75	46.75	49.64	49.64	49.59	49.59	51.24	51.24	52.41	52.41	52.64	52.64	54.17	54.17
1,738.00	35.31	35.31	2.240	2.240	16.18	16.18	16.86	16.86	16.94	16.94	18.32	18.32	22.17	22.17	28.50	28.50	34.99	34.99	40.08	40.08	44.52	44.52	47.23	47.23	50.14	50.14	50.01	50.01	51.62	51.62	52.67	52.67	53.07	53.07	54.71	54.71
1,740.00	35.38	35.38	2.215	2.215	15.55	15.55	16.47	16.47	16.63	16.63	18.02	18.02	21.93	21.93	28.61	28.61	35.07	35.07	40.42	40.42	44.69	44.69	47.67	47.67	50.51	50.51	50.38	50.38	51.95	51.95	52.83	52.83	53.38	53.38	55.09	55.09
1,742.00	35.38	35.38	2.188	2.188	14.94	14.94	16.05	16.05	16.33	16.33	17.74	17.74	21.66	21.66	28.61	28.61	35.07	35.07	40.68	40.68	44.72	44.72	48.03	48.03	50.73	50.73	50.68	50.68	52.24	52.24	52.95	52.95	53.58	53.58	55.31	55.31
1,744.00	35.31	35.31	2.160	2.160	14.39	14.39	15.62	15.62	16.03	16.03	17.45	17.45	21.36	21.36	28.46	28.46	34.98	34.98	40.78	40.78	44.63	44.63	48.23	48.23	50.75	50.75	50.87	50.87	52.47	52.47	53.04	53.04	53.65	53.65	55.38	55.38
1,746.00	35.14	35.14	2.128	2.128	13.90	13.90	15.19	15.19	15.72	15.72	17.16	17.16	21.05	21.05	28.19	28.19	34.80	34.80	40.69	40.69	44.43	44.43	48.23	48.23	50.56	50.56	50.90	50.90	52.58	52.58	53.07	53.07	53.56	53.56	55.28	55.28
1,748.00	34.88	34.88	2.093	2.093	13.46	13.46	14.77	14.77	15.39	15.39	16.85	16.85	20.74	20.74	27.83	27.83	34.51	34.51	40.40	40.40	44.19	44.19	48.03	48.03	50.15	50.15	50.78	50.78	52.48	52.48	52.99	52.99	53.31	53.31	55.02	55.02
1,750.00	34.53	34.53	2.051	2.051	13.06	13.06	14.35	14.35	15.06	15.06	16.51	16.51	20.42	20.42	27.43	27.43	34.15	34.15	39.94	39.94	43.90	43.90	47.63	47.63	49.58	49.58	50.53	50.53	52.18	52.18	52.77	52.77	52.93	52.93	54.60	54.60
1,752.00	34.11	34.11	2.005	2.005	12.66	12.66	13.89	13.89	14.71	14.71	16.13	16.13	20.10	20.10	27.00	27.00	33.74	33.74	39.36	39.36	43.56	43.56	47.09	47.09	48.90	48.90	50.15	50.15	51.68	51.68	52.38	52.38	52.46	52.46	54.01	54.01
1,754.00	33.62	33.62	1.960	1.960	12.25	12.25	13.40	13.40	14.36	14.36	15.72	15.72	19.77	19.77	26.56	26.56	33.28	33.28	38.71	38.71	43.15	43.15	46.43	46.43	48.18	48.18	49.66	49.66	51.00	51.00	51.82	51.82	51.93	51.93	53.27	53.27
1,756.00	33.06	33.06	1.917	1.917	11.83	11.83	12.87	12.87	14.01	14.01	15.30	15.30	19.41	19.41	26.09	26.09	32.76	32.76	38.01	38.01	42.66	42.66	45.69	45.69	47.46	47.46	49.03	49.03	50.19	50.19	51.11	51.11	51.32	51.32	52.37	52.37
1,758.00	32.44	32.44	1.876	1.876	11.40	11.40	12.36	12.36	13.66	13.66	14.85	14.85	19.01	19.01	25.56	25.56	32.16	32.16	37.29	37.29	42.04	42.04	44.88	44.88	46.73	46.73	48.22	48.22	49.27	49.27	50.26	50.26	50.59	50.59	51.35	51.35
1,760.00	31.76	31.76	1.834	1.834	10.96	10.96	11.87	11.87	13.30	13.30	14.40	14.40	18.55	18.55	24.99	24.99	31.48	31.48	36.58	36.58	41.31	41.31	43.98	43.98	46.00	46.00	47.20	47.20	48.27	48.27	49.27	49.27	49.70	49.70	50.25	50.25
1,762.00	31.03	31.03	1.787	1.787	10.54	10.54	11.43	11.43	12.92	12.92	13.93	13.93	18.05	18.05	24.36	24.36	30.75	30.75	35.89	35.89	40.45	40.45	42.99	42.99	45.21	45.21	46.01	46.01	47.22	47.22	48.18	48.18	48.62	48.62	49.10	49.10
1,764.00	30.24	30.24	1.735	1.735	10.13	10.13	11.03	11.03	12.51	12.51	13.47	13.47	17.51	17.51	23.70	23.70	29.96	29.96	35.18	35.18	39.50	39.50	41.91	41.91	44.30	44.30	44.73	44.73	46.15	46.15	47.00	47.00	47.37	47.37	47.92	47.92
1,766.00	29.41	29.41	1.680	1.680	9.742	9.742	10.64	10.64	12.07	12.07	13.02	13.02	16.97	16.97	22.99	22.99	29.12	29.12	34.41	34.41	38.45	38.45	40.76	40.76	43.25	43.25	43.42	43.42	45.04	45.04	45.75	45.75	45.95	45.95	46.70	46.70
1,768.00	28.52	28.52	1.629	1.629	9.362	9.362	10.25	10.25	11.61	11.61	12.58	12.58	16.43	16.43	22.22	22.22	28.23	28.23	33.51	33.51	37.28	37.28	39.52	39.52	42.03	42.03	42.14	42.14	43.85	43.85	44.42	44.42	44.37	44.37	45.37	45.37
1,770.00	27.54	27.54	1.585	1.585	8.973	8.973	9.842	9.842	11.14	11.14	12.12	12.12	15.88	15.88	21.36	21.36	27.28	27.28	32.42	32.42	35.95	35.95	38.15	38.15	40.61	40.61	40.83	40.83	42.51	42.51	42.97	42.97	42.62	42.62	43.88	43.88
1,772.00	26.44	26.44	1.546	1.546	8.558	8.558	9.414	9.414	10.63	10.63	11.63	11.63	15.29	15.29	20.39	20.39	26.26	26.26	31.11	31.11	34.42	34.42	36.62	36.62	38.99	38.99	39.38	39.38	40.96	40.96	41.34	41.34	40.72	40.72	42.17	42.17
1,774.00	25.21	25.21	1.506	1.506	8.106	8.106	8.965	8.965	10.11	10.11	11.09	11.09	14.63	14.63	19.33	19.33	25.15	25.15	29.58	29.58	32.69	32.69	34.90	34.90	37.18	37.18	37.70	37.70	39.16	39.16	39.48	39.48	38.72	38.72	40.25	40.25
1,776.00	23.88	23.88	1.460	1.460	7.630	7.630	8.504	8.504	9.578	9.578	10.52	10.52	13.92	13.92	18.23	18.23	23.95	23.95	27.91	27.91	30.84	30.84	33.02	33.02	35.21	35.21	35.80	35.80	37.18	37.18	37.41	37.41	36.65	36.65	38.15	38.15
1,778.00	22.51	22.51	1.410	1.410	7.147	7.147	8.046	8.046	9.048	9.048	9.966	9.966	13.17	13.17	17.16	17.16	22.67	22.67	26.19	26.19	28.96	28.96	31.09	31.09	33.17	33.17	33.78	33.78	35.11	35.11	35.25	35.25	34.57	34.57	35.97	35.97
1,780.00	21.18	21.18	1.362	1.362	6.680	6.680	7.612	7.612	8.540	8.540	9.470	9.470	12.42	12.42	16.19	16.19	21.38	21.38	24.54	24.54	27.15	27.15	29.22	29.22	31.16	31.16	31.76	31.76	33.04	33.04	33.10	33.10	32.55	32.55	33.82	33.82
1,782.00	19.93	19.93	1.320	1.320	6.255	6.255	7.219	7.219	8.079	8.079	9.056	9.056	11.73	11.73	15.32	15.32	20.14	20.14	23.01	23.01	25.49	25.49	27.48	27.48	29.26	29.26	29.86	29.86	31.07	31.07	31.06	31.06	30.64	30.64	31.78	31.78
1,784.00	18.79	18.79	1.285	1.285	5.886	5.886	6.878	6.878	7.680	7.680	8.710	8.710	11.09	11.09	14.54	14.54	18.99	18.99	21.63	21.63	23.99	23.99	25.92	25.92	27.50	27.50	28.14	28.14	29.24	29.24	29.16	29.16	28.86	28.86	29.88	29.88
1,786.00	17.75	17.75	1.254	1.254	5.580	5.580	6.582	6.582	7.344	7.344	8.397	8.397	10.52	10.52	13.81	13.81	17.94	17.94	20.38	20.38	22.64	22.64	24.50	24.50	25.88	25.88	26.59	26.59	27.53	27.53	27.40	27.40	27.23	27.23	28.14	28.14
1,788.00	16.79	16.79	1.220	1.220	5.333	5.333	6.313	6.313	7.059	7.059	8.083	8.083	10.02	10.02	13.09	13.09	16.97	16.97	19.22	19.22	21.41	21.41	23.21	23.21	24.37	24.37	25.17	25.17	25.96	25.96	25.75	25.75	25.72	25.72	26.51	26.51
1,790.00	15.89	15.89	1.178	1.178	5.133	5.133	6.060	6.060	6.798	6.798	7.756	7.756	9.579	9.579	12.39	12.39	16.06	16.06	18.14	18.14	20.27	20.27	21.99	21.99	22.96	22.96	23.85	23.85	24.48	24.48	24.22	24.22	24.33	24.33	24.98	24.98
1,792.00	15.05	15.05	1.130	1.130	4.966	4.966	5.819	5.819	6.537	6.537	7.417	7.417	9.188	9.188	11.72	11.72	15.18	15.18	17.12	17.12	19.19	19.19	20.81	20.81	21.64	21.64	22.61	22.61	23.09	23.09	22.81	22.81	23.02	23.02	23.55	23.55
1,794.00	14.25	14.25	1.080	1.080	4.821	4.821	5.593	5.593	6.265	6.265	7.078	7.078	8.832	8.832	11.12	11.12	14.33	14.33	16.17	16.17	18.18	18.18	19.64	19.64	20.42	20.42	21.42	21.42	21.78	21.78	21.52	21.52	21.77	21.77	22.21	22.21
1,796.00	13.50	13.50	1.034	1.034	4.694	4.694	5.392	5.392	5.994	5.994	6.743	6.743	8.490	8.490	10.59	10.59	13.54	13.54	15.29	15.29	17.21	17.21	18.48	18.48	19.30	19.30	20.27	20.27	20.55	20.55	20.34	20.34	20.57	20.57	20.97	20.97
1,798.00	12.79	12.79	0.9959	0.9959	4.578	4.578	5.218	5.218	5.746	5.746	6.421	6.421	8.147	8.147	10.12	10.12	12.82	12.82	14.46	14.46	16.28	16.28	17.36	17.36	18.26	18.26	19.14	19.14	19.39	19.39	19.24	19.24	19.39	19.39	19.82	19.82
1,800.00	12.12	12.12	0.9678	0.9678	4.471	4.471	5.067	5.067	5.537	5.537	6.126	6.126	7.802	7.802	9.676	9.676	12.16	12.16	13.69	13.69	15.41	15.41	16.30	16.30	17.30	17.30	18.03	18.03	18.29	18.29	18.21	18.21	18.26	18.26	18.75	18.75
1,802.00	11.49	11.49	0.9464	0.9464	4.368	4.368	4.931	4.931	5.367	5.367	5.875	5.875	7.454	7.454	9.236	9.236	11.55	11.55	12.95	12.95	14.58	14.58	15.33	15.33	16.37	16.37	16.96	16.96	17.26	17.26	17.22	17.22	17.20	17.20	17.74	17.74
1,804.00	10.90	10.90	0.9268	0.9268	4.264	4.264	4.805	4.805	5.221	5.221	5.676	5.676	7.110	7.110	8.791	8.791	11.00	11.00	12.26	12.26	13.78	13.78	14.46	14.46	15.47	15.47	15.94	15.94	16.29	16.29	16.27	16.27	16.24	16.24	16.79	16.79
1,806.00	10.34	10.34	0.9037	0.9037	4.155	4.155	4.680	4.680	5.073	5.073	5.519	5.519	6.774	6.774	8.349	8.349	10.48	10.48	11.61	11.61	13.02	13.02	13.70	13.70	14.59	14.59	15.00	15.00	15.36	15.36	15.37	15.37	15.39	15.39	15.89	15.89
1,808.00	9.825	9.825	0.8745	0.8745	4.040	4.040	4.555	4.555	4.910	4.910	5.381	5.381	6.454	6.454	7.931	7.931	9.980	9.980	11.02	11.02	12.29	12.29	13.02	13.02	13.76	13.76	14.13	14.13	14.48	14.48	14.53	14.53	14.63	14.63	15.03	15.03
1,810.00	9.343	9.343	0.8411	0.8411	3.924	3.924	4.427	4.427	4.733	4.733	5.240	5.240	6.162	6.162	7.555	7.555	9.504	9.504	10.47	10.47	11.61	11.61	12.43	12.43	13.01	13.01	13.35	13.35	13.67	13.67	13.76	13.76	13.93	13.93	14.22	14.22
1,812.00	8.895	8.895	0.8073	0.8073	3.812	3.812	4.300	4.300	4.560	4.560	5.080	5.080	5.902	5.902	7.229	7.229	9.044	9.044	9.971	9.971	10.98	10.98	11.88	11.88	12.32	12.32	12.65	12.65	12.92	12.92	13.06	13.06	13.25	13.25	13.46	13.46
1,814.00	8.479	8.479	0.7782	0.7782	3.711	3.711	4.176	4.176	4.409	4.409	4.907	4.907	5.679	5.679	6.953	6.953	8.608	8.608	9.518	9.518	10.41	10.41	11.35	11.35	11.70	11.70	11.99	11.99	12.24	12.24	12.41	12.41	12.56	12.56	12.74	12.74
1,816.00	8.095	8.095	0.7575	0.7575	3.627	3.627	4.062	4.062	4.287	4.287	4.737	4.737	5.490	5.490	6.717	6.717	8.200	8.200	9.122	9.122	9.904	9.904	10.83	10.83	11.12	11.12	11.38	11.38	11.61	11.61	11.81	11.81	11.87	11.87	12.09	12.09
1,818.00	7.740	7.740	0.7445	0.7445	3.560	3.560	3.956	3.956	4.187	4.187	4.581	4.581	5.324	5.324	6.508	6.508	7.829	7.829	8.776	8.776	9.448	9.448	10.31	10.31	10.56	10.56	10.82	10.82	11.04	11.04	11.23	11.23	11.21	11.21	11.49	11.49
1,820.00	7.405	7.405	0.7346	0.7346	3.506	3.506	3.856	3.856	4.093	4.093	4.440	4.440	5.171	5.171	6.309	6.309	7.489	7.489	8.458	8.458	9.024	9.024	9.803	9.803	10.02	10.02	10.29	10.29	10.50	10.50	10.66	10.66	10.59	10.59	10.93	10.93
1,822.00	7.078	7.078	0.7237	0.7237	3.456	3.456	3.758	3.758	3.992	3.992	4.310	4.310	5.020	5.020	6.105	6.105	7.165	7.165	8.137	8.137	8.615	8.615	9.294	9.294	9.486	9.486	9.787	9.787	9.973	9.973	10.09	10.09	10.03	10.03	10.39	10.39
1,824.00	6.744	6.744	0.7084	0.7084	3.408	3.408	3.656	3.656	3.871	3.871	4.182	4.182	4.861	4.861	5.882	5.882	6.830	6.830	7.779	7.779	8.194	8.194	8.773	8.773	8.957	8.957	9.281	9.281	9.441	9.441	9.499	9.499	9.486	9.486	9.841	9.841
1,826.00	6.387	6.387	0.6876	0.6876	3.352	3.352	3.546	3.546	3.728	3.728	4.050	4.050	4.682	4.682	5.626	5.626	6.468	6.468	7.362	7.362	7.738	7.738	8.228	8.228	8.412	8.412	8.743	8.743	8.877	8.877	8.879	8.879	8.943	8.943	9.260	9.260
1,828.00	6.004	6.004	0.6642	0.6642	3.284	3.284	3.427	3.427	3.567	3.567	3.909	3.909	4.475	4.475	5.335	5.335	6.079	6.079	6.889	6.889	7.248	7.248	7.660	7.660	7.843	7.843	8.162	8.162	8.271	8.271	8.234	8.234	8.370	8.370	8.647	8.647
1,830.00	5.606	5.606	0.6430	0.6430	3.207	3.207	3.300	3.300	3.399	3.399	3.767	3.767	4.247	4.247	5.016	5.016	5.682	5.682	6.383	6.383	6.743	6.743	7.089	7.089	7.264	7.264	7.556	7.556	7.639	7.639	7.587	7.587	7.769	7.769	8.016	8.016
1,832.00	5.219	5.219	0.6277	0.6277	3.128	3.128	3.171	3.171	3.241	3.241	3.629	3.629	4.011	4.011	4.695	4.695	5.310	5.310	5.884	5.884	6.258	6.258	6.550	6.550	6.708	6.708	6.966	6.966	7.023	7.023	6.971	6.971	7.165	7.165	7.390	7.390
1,834.00	4.872	4.872	0.6202	0.6202	3.053	3.053	3.051	3.051	3.114	3.114	3.504	3.504	3.790	3.790	4.403	4.403	4.995	4.995	5.440	5.440	5.825	5.825	6.082	6.082	6.213	6.213	6.437	6.437	6.473	6.473	6.424	6.424	6.599	6.599	6.802	6.802
1,836.00	4.585	4.585	0.6195	0.6195	2.985	2.985	2.950	2.950	3.026	3.026	3.398	3.398	3.603	3.603	4.161	4.161	4.750	4.750	5.082	5.082	5.462	5.462	5.706	5.706	5.806	5.806	6.001	6.001	6.022	6.022	5.973	5.973	6.111	6.111	6.285	6.285
1,838.00	4.362	4.362	0.6219	0.6219	2.925	2.925	2.873	2.873	2.976	2.976	3.311	3.311	3.462	3.462	3.978	3.978	4.565	4.565	4.817	4.817	5.168	5.168	5.416	5.416	5.492	5.492	5.664	5.664	5.677	5.677	5.624	5.624	5.723	5.723	5.853	5.853
1,840.00	4.192	4.192	0.6227	0.6227	2.871	2.871	2.819	2.819	2.952	2.952	3.240	3.240	3.363	3.363	3.847	3.847	4.420	4.420	4.624	4.624	4.928	4.928	5.193	5.193	5.252	5.252	5.413	5.413	5.424	5.424	5.357	5.357	5.431	5.431	5.507	5.507
1,842.00	4.059	4.059	0.6190	0.6190	2.825	2.825	2.783	2.783	2.940	2.940	3.177	3.177	3.297	3.297	3.753	3.753	4.290	4.290	4.478	4.478	4.722	4.722	5.005	5.005	5.068	5.068	5.223	5.223	5.236	5.236	5.144	5.144	5.209	5.209	5.240	5.240
1,844.00	3.947	3.947	0.6117	0.6117	2.790	2.790	2.754	2.754	2.923	2.923	3.115	3.115	3.249	3.249	3.680	3.680	4.160	4.160	4.354	4.354	4.539	4.539	4.833	4.833	4.922	4.922	5.070	5.070	5.081	5.081	4.956	4.956	5.027	5.027	5.032	5.032
1,846.00	3.843	3.843	0.6030	0.6030	2.768	2.768	2.722	2.722	2.894	2.894	3.050	3.050	3.207	3.207	3.615	3.615	4.032	4.032	4.238	4.238	4.374	4.374	4.672	4.672	4.793	4.793	4.930	4.930	4.933	4.933	4.775	4.775	4.868	4.868	4.865	4.865
1,848.00	3.742	3.742	0.5956	0.5956	2.758	2.758	2.684	2.684	2.850	2.850	2.982	2.982	3.163	3.163	3.549	3.549	3.908	3.908	4.126	4.126	4.224	4.224	4.523	4.523	4.663	4.663	4.789	4.789	4.775	4.775	4.596	4.596	4.716	4.716	4.716	4.716
1,850.00	3.639	3.639	0.5915	0.5915	2.753	2.753	2.638	2.638	2.797	2.797	2.917	2.917	3.110	3.110	3.473	3.473	3.786	3.786	4.016	4.016	4.089	4.089	4.385	4.385	4.519	4.519	4.637	4.637	4.601	4.601	4.423	4.423	4.568	4.568	4.562	4.562
1,852.00	3.533	3.533	0.5905	0.5905	2.743	2.743	2.584	2.584	2.744	2.744	2.862	2.862	3.047	3.047	3.385	3.385	3.662	3.662	3.905	3.905	3.963	3.963	4.253	4.253	4.357	4.357	4.470	4.470	4.419	4.419	4.261	4.261	4.426	4.426	4.394	4.394
1,854.00	3.427	3.427	0.5912	0.5912	2.720	2.720	2.528	2.528	2.698	2.698	2.824	2.824	2.976	2.976	3.296	3.296	3.531	3.531	3.795	3.795	3.842	3.842	4.119	4.119	4.186	4.186	4.294	4.294	4.244	4.244	4.115	4.115	4.286	4.286	4.218	4.218
1,856.00	3.327	3.327	0.5917	0.5917	2.682	2.682	2.474	2.474	2.661	2.661	2.798	2.798	2.904	2.904	3.218	3.218	3.398	3.398	3.691	3.691	3.730	3.730	3.977	3.977	4.025	4.025	4.120	4.120	4.090	4.090	3.991	3.991	4.155	4.155	4.051	4.051
